"Cycle","ID","TransID","CRPFilerid","Recipcode","Pacshort","CRPRecipname","Expcode","Amount","Date","City","State","Zip","CmtelD_EF","Candid","Type","Descrip","PG","ElecOther","EntType","Source"
2002,33,"1114200149E3294","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","01",43,"07/31/2001","Boston","MA","02109    ","C00042622","","","SERVICE CHARGE","     ","","","@W02"
2002,34,"1114200146E3220","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","01",789,"08/16/2001","Boston","MA","02109    ","C00042622","","","PAYROLL TAX","     ","","","@W02"
2002,35,"1114200149E3299","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","01",783,"08/31/2001","Boston","MA","02109    ","C00042622","","","PAYROLL TAX","     ","","","@W02"
2002,36,"1114200149E3300","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","01",29,"08/31/2001","Boston","MA","02109    ","C00042622","","","SERVICE CHARGE","     ","","","@W02"
2002,37,"1114200146E3229","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","  ",188,"09/17/2001","Boston","MA","02109    ","C00042622","","","CREDIT LINE INTEREST","     ","","",""
2002,38,"1114200146E3237","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","01",1365,"09/19/2001","Boston","MA","02109    ","C00042622","","","PAYROLL TAX","     ","","","@W02"
2002,39,"1114200147E3254","C00042622","RP","Republican State Cmte of Massachusetts","Maloney Sarah","01",928,"10/05/2001","Brookline","MA","02446    ","C00042622","","","PAYROLL","     ","","IND","@W02"
2002,40,"1114200148E3277","C00042622","RP","Republican State Cmte of Massachusetts","Maloney Sarah","01",928,"10/26/2001","Brookline","MA","02446    ","C00042622","","","PAYROLL","     ","","IND","@W02"
2002,41,"1114200148E3271","C00042622","RP","Republican State Cmte of Massachusetts","Pitney Bowes Credit Corp.","01",1030,"10/23/2001","Louisville","KY","402856460","C00042622","","","EQUIPMENT LEASE","     ","","","@W02"
2002,42,"0717200125E3105","C00042622","RP","Republican State Cmte of Massachusetts","ThriftCo Printing","01",845,"07/01/2001","Peabody","MA","01960    ","C00042622","","","STATIONERY","     ","","IND","@W02"
2002,43,"1114200148E3274","C00042622","RP","Republican State Cmte of Massachusetts","Federal Express","01",57,"10/23/2001","Memphis","TN","381011140","C00042622","","","EXPRESS MAIL","     ","","","@W02"
2002,44,"1114200146E3236","C00042622","RP","Republican State Cmte of Massachusetts","Fletcher Jonathan","01",1073,"09/19/2001","Boston","MA","02114    ","C00042622","","","PAYROLL","     ","","IND","@W02"
2002,45,"1114200148E3276","C00042622","RP","Republican State Cmte of Massachusetts","Fletcher Jonathan","01",1073,"10/26/2001","Boston","MA","02114    ","C00042622","","","PAYROLL","     ","","IND","@W02"
2002,46,"1114200149E3290","C00042622","RP","Republican State Cmte of Massachusetts","Guardian Insurance","01",1394,"07/01/2001","Boston","MA","02109    ","C00042622","","","HEALTH INSURANCE","     ","","","@W02"
2002,47,"1114200149E3295","C00042622","RP","Republican State Cmte of Massachusetts","Guardian Insurance","01",1163,"08/01/2001","Boston","MA","02109    ","C00042622","","","HEALTH INSURANCE","     ","","","@W02"
2002,48,"1114200149E3303","C00042622","RP","Republican State Cmte of Massachusetts","Guardian Insurance","01",1015,"10/01/2001","Boston","MA","02109    ","C00042622","","","HEALTH INSURANCE","     ","","","@W02"
2002,49,"1114200150E3310","C00042622","RP","Republican State Cmte of Massachusetts","Guardian Insurance","01",1125,"11/01/2001","Boston","MA","02109    ","C00042622","","","HEALTH INSURANCE","     ","","","@W02"
2002,50,"1114200146E3230","C00042622","RP","Republican State Cmte of Massachusetts","Hampshire House","99",864,"09/17/2001","Boston","MA","02108    ","C00042622","","","EVENT ROOM RENTAL","     ","","IND","@W02"
2002,51,"1114200148E3272","C00042622","RP","Republican State Cmte of Massachusetts","Heller Financial Leasing, Inc.","01",371,"10/23/2001","Detroit","MI","482550705","C00042622","","","EQUIPMENT LEASE","     ","","","@W02"
2002,53,"0717200125E3108","C00042622","RP","Republican State Cmte of Massachusetts","InterPay","01",75,"07/01/2001","Boston","MA","02266    ","C00042622","","","PAYROLL SERVICES","     ","","","@W02"
2002,54,"1114200146E3223","C00042622","RP","Republican State Cmte of Massachusetts","InterPay","01",128,"09/14/2001","Boston","MA","02266    ","C00042622","","","PAYROLL PROCESSING","     ","","","@W02"
2002,55,"0717200125E3102","C00042622","RP","Republican State Cmte of Massachusetts","IOS Capital","01",207,"07/01/2001","Philadelphia","PA","191011564","C00042622","","","EQUIPMENT LEASE","     ","","","@W02"
2002,56,"1114200148E3270","C00042622","RP","Republican State Cmte of Massachusetts","IOS Capital","01",218,"10/23/2001","Philadelphia","PA","191011564","C00042622","","","EQUIPMENT LEASE","     ","","","@W02"
2002,57,"1114200148E3275","C00042622","RP","Republican State Cmte of Massachusetts","KE Printing & Graph.","99",961,"10/24/2001","Canton","MA","02021    ","C00042622","","","DIRECT MAIL POSTAGE","     ","","IND","@W02"
2002,58,"0717200125E3101","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","  ",196,"07/01/2001","Boston","MA","02109    ","C00042622","","","CREDIT LINE INTEREST","     ","","",""
2002,59,"0727200156E3204","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","01",2676,"07/23/2001","Boston","MA","02109    ","C00042622","","","PAYROLL TAX","     ","","","@W02"
2002,60,"1114200149E3293","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","01",44,"07/26/2001","Boston","MA","02109    ","C00042622","","","SERVICE CHARGE","     ","","","@W02"
2002,61,"1114200145E3212","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","  ",183,"08/07/2001","Boston","MA","02109    ","C00042622","","","CREDIT LINE INTEREST","     ","","",""
2002,62,"1114200149E3302","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","01",26,"09/28/2001","Boston","MA","02109    ","C00042622","","","SERVICE CHARGE","     ","","","@W02"
2002,63,"1114200147E3246","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","  ",184,"10/03/2001","Boston","MA","02109    ","C00042622","","","CREDIT LINE INTEREST","     ","","",""
2002,64,"1114200147E3245","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","01",15,"10/03/2001","Boston","MA","02109    ","C00042622","","","WIRE TRANSFER FEE","     ","","","@W02"
2002,65,"SB17.8019","N00004887","DW","Citizens for Rush","Allen John","01",75,"07/02/2001","Chicago","IL","60653    ","         ","","","Office Cleaning","P2002","","IND","@W02"
2002,66,"SB17.8063","N00004887","DW","Citizens for Rush","A.R. Leak Funeral Homes","  ",265,"08/21/2001","Chicago","IL","60619    ","         ","","","Donation for Funeral","P2002","","ORG",""
2002,67,"SB17.8001","N00004887","DW","Citizens for Rush","Allen John","01",75,"07/07/2001","Chicago","IL","60653    ","         ","","","Office Cleaning","P2002","","IND","@W02"
2002,69,"SB17.8053","N00004887","DW","Citizens for Rush","Allen John","01",75,"08/15/2001","Chicago","IL","60653    ","         ","","","Salary","P2002","","IND","@W02"
2002,70,"1114200147E3250","C00042622","RP","Republican State Cmte of Massachusetts","ThriftCo Printing","01",179,"10/03/2001","Peabody","MA","01960    ","C00042622","","","STATIONERY","     ","","IND","@W02"
2002,71,"072120014E3198","C00042622","RP","Republican State Cmte of Massachusetts","Tzitzon Nicholas","01",874,"07/20/2001","Haverhill","MA","01835    ","C00042622","","","PAYROLL","     ","","IND","@W02"
2002,72,"1114200146E3218","C00042622","RP","Republican State Cmte of Massachusetts","Tzitzon Nicholas","01",874,"08/16/2001","Haverhill","MA","01835    ","C00042622","","","PAYROLL","     ","","IND","@W02"
2002,73,"1114200149E3297","C00042622","RP","Republican State Cmte of Massachusetts","Tzitzon Nicholas","01",874,"08/31/2001","Haverhill","MA","01835    ","C00042622","","","PAYROLL","     ","","IND","@W02"
2002,74,"1114200146E3234","C00042622","RP","Republican State Cmte of Massachusetts","Tzitzon Nicholas","01",874,"09/19/2001","Haverhill","MA","01835    ","C00042622","","","PAYROLL","     ","","IND","@W02"
2002,75,"1114200149E3306","C00042622","RP","Republican State Cmte of Massachusetts","Tzitzon Nicholas","01",874,"10/17/2001","Haverhill","MA","01835    ","C00042622","","","PAYROLL","     ","","IND","@W02"
2002,76,"1114200148E3278","C00042622","RP","Republican State Cmte of Massachusetts","Tzitzon Nicholas","01",374,"10/26/2001","Haverhill","MA","01835    ","C00042622","","","PAYROLL","     ","","IND","@W02"
2002,77,"1115200152E3330","C00042622","RP","Republican State Cmte of Massachusetts","Verizon","01",941,"08/15/2001","Lehigh Valley","PA","180028007","C00042622","","","LOCAL PHONE SERVICE","     ","","","@W02"
2002,78,"1114200146E3232","C00042622","RP","Republican State Cmte of Massachusetts","Water St. Developmnt","  ",3083,"09/17/2001","Wakefield","MA","01880    ","C00042622","","","SEPTEMBER RENT","     ","","IND",""
2002,79,"1114200146E3227","C00042622","RP","Republican State Cmte of Massachusetts","Praxis List Company","  ",1957,"09/17/2001","Austin","TX","78701    ","C00042622","","","FUNDRAISING LIST","     ","","","@W02"
2002,80,"1114200146E3238","C00042622","RP","Republican State Cmte of Massachusetts","Mr. Angel Santi","01",240,"09/21/2001","Wakefield","MA","01880    ","C00042622","","","OFFICE CLEANING","     ","","","@W02"
2002,81,"1114200145E3216","C00042622","RP","Republican State Cmte of Massachusetts","Staples, Inc.","01",100,"08/13/2001","Des Moines","IA","503689020","C00042622","","","OFFICE SUPPLIES","     ","","","@W02"
2002,82,"1114200147E3247","C00042622","RP","Republican State Cmte of Massachusetts","Staples, Inc.","01",150,"10/03/2001","Des Moines","IA","503689020","C00042622","","","OFFICE SUPPLIES","     ","","","@W02"
2002,83,"EXP:B:2334","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","ROHRABACHER RHONDA J.","01",1142,"10/30/2001","HUNTINGTON BEACH","CA","92648    ","         ","","001","PAYROLL EXPENSE","     ","","IND","@W02"
2002,84,"EXP:B:2351","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","ROHRABACHER RHONDA J.","01",1142,"11/29/2001","HUNTINGTON BEACH","CA","92648    ","         ","","001","PAYROLL EXPENSE","     ","","IND","@W02"
2002,85,"EXP:B:2398","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","ROHRABACHER RHONDA J.","01",1142,"12/13/2001","HUNTINGTON BEACH","CA","92648    ","         ","","001","PAYROLL EXPENSE","     ","","IND","@W02"
2002,86,"EXP:B:2405","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","ROHRABACHER RHONDA J.","01",1142,"12/28/2001","HUNTINGTON BEACH","CA","92648    ","         ","","001","PAYROLL EXPENSE","     ","","IND","@W02"
2002,88,"EXP:B:2343","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","STATE COMPENSATION INSURANCE FUND","01",215,"11/15/2001","SAN FRANCISCO","CA","941207854","         ","","001","INSURANCE","     ","","ORG","@W02"
2002,89,"EXP:B:2229","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","THE CONGRESSIONAL INSTITUTE, INC.","  ",625,"07/02/2001","WASHINTON","DC","20003    ","         ","","001","CONFERENCE FEE","     ","","ORG",""
2002,90,"EXP:B:2232","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","THE HARP INN","  ",2821,"07/02/2001","COSTA MESA","CA","92627    ","         ","","001","FUNDRAISING EVENT","     ","","ORG","@W02"
2002,91,"EXP:B:2273","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","THE PACIFIC CLUB","  ",8919,"07/17/2001","NEWPORT BEACH","CA","92648    ","         ","","001","FUNDRAISING EVENT","     ","","ORG","@W02"
2002,92,"EXP:B:2318","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","U.S. POSTMASTER","  ",125,"09/13/2001","HUNTINGTON BEACH","CA","92648    ","         ","","001","BUSINESS REPLY MAIL FEE","     ","","ORG",""
2002,93,"EXP:B:2221","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","VERIZON CALIFORNIA","01",79,"07/02/2001","INGLEWOOD","CA","90313    ","         ","","001","TELEPHONE","     ","","ORG","@W02"
2002,94,"EXP:B:2276","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","VERIZON CALIFORNIA","01",91,"07/30/2001","INGLEWOOD","CA","90313    ","         ","","001","TELEPHONE","     ","","ORG","@W02"
2002,95,"EXP:B:2306","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","VERIZON CALIFORNIA","01",91,"08/30/2001","INGLEWOOD","CA","90313    ","         ","","001","TELEPHONE","     ","","ORG","@W02"
2002,96,"EXP:B:2325","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","VERIZON CALIFORNIA","01",95,"10/09/2001","INGLEWOOD","CA","90313    ","         ","","001","TELEPHONE","     ","","ORG","@W02"
2002,97,"EXP:B:2336","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","VERIZON CALIFORNIA","01",108,"11/06/2001","INGLEWOOD","CA","90313    ","         ","","001","TELEPHONE","     ","","ORG","@W02"
2002,99,"1114200147E3255","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","01",396,"10/05/2001","Boston","MA","02109    ","C00042622","","","PAYROLL TAX","     ","","","@W02"
2002,100,"1114200147E3261","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","01",15,"10/09/2001","Boston","MA","02109    ","C00042622","","","WIRE TRANSFER FEE","     ","","","@W02"
2002,101,"1114200147E3260","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","01",15,"10/12/2001","Boston","MA","02109    ","C00042622","","","WIRE TRANSFER FEE","     ","","","@W02"
2002,102,"1114200149E3308","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","01",1347,"10/17/2001","Boston","MA","02109    ","C00042622","","","PAYROLL TAX","     ","","","@W02"
2002,103,"1114200148E3279","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","01",1101,"10/26/2001","Boston","MA","02109    ","C00042622","","","PAYROLL TAX","     ","","","@W02"
2002,104,"1114200150E3309","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","01",14,"10/30/2001","Boston","MA","02109    ","C00042622","","","SERVICE CHARGE","     ","","","@W02"
2002,105,"072120014E3199","C00042622","RP","Republican State Cmte of Massachusetts","Maloney Sarah","01",928,"07/20/2001","Brookline","MA","02446    ","C00042622","","","PAYROLL","     ","","IND","@W02"
2002,106,"1114200146E3219","C00042622","RP","Republican State Cmte of Massachusetts","Maloney Sarah","01",928,"08/16/2001","Brookline","MA","02446    ","C00042622","","","PAYROLL","     ","","IND","@W02"
2002,107,"1114200149E3298","C00042622","RP","Republican State Cmte of Massachusetts","Maloney Sarah","01",928,"08/31/2001","Brookline","MA","02446    ","C00042622","","","PAYROLL","     ","","IND","@W02"
2002,108,"1114200146E3235","C00042622","RP","Republican State Cmte of Massachusetts","Maloney Sarah","01",928,"09/19/2001","Brookline","MA","02446    ","C00042622","","","PAYROLL","     ","","IND","@W02"
2002,109,"1114200149E3307","C00042622","RP","Republican State Cmte of Massachusetts","Maloney Sarah","01",928,"10/17/2001","Brookline","MA","02446    ","C00042622","","","PAYROLL","     ","","IND","@W02"
2002,110,"1114200146E3228","C00042622","RP","Republican State Cmte of Massachusetts","Minolta Business Systems","01",1107,"09/17/2001","Philadelphia","PA","191011647","C00042622","","","EQUIPMENT RENTAL","     ","","","@W02"
2002,111,"1114200147E3253","C00042622","RP","Republican State Cmte of Massachusetts","Minolta Business Systems","01",1107,"10/03/2001","Philadelphia","PA","191011647","C00042622","","","EQUIPMENT LEASE","     ","","","@W02"
2002,112,"1114200148E3269","C00042622","RP","Republican State Cmte of Massachusetts","Minolta Business Systems","01",1119,"10/23/2001","Philadelphia","PA","191011647","C00042622","","","EQUIPMENT RENTAL","     ","","","@W02"
2002,113,"1114200148E3285","C00042622","RP","Republican State Cmte of Massachusetts","Minolta Business Systems","01",1131,"11/05/2001","Philadelphia","PA","191011647","C00042622","","","EQUIPMENT RENTAL","     ","","","@W02"
2002,114,"0717200125E3104","C00042622","RP","Republican State Cmte of Massachusetts","Network Plus","  ",263,"07/09/2001","Boston","MA","022970035","C00042622","","","LONG DISTANCE/INTERNET","     ","","IND",""
2002,115,"1114200147E3252","C00042622","RP","Republican State Cmte of Massachusetts","Newcourt Leasing Corp.","01",116,"10/03/2001","Newark","NJ","071880076","C00042622","","","EQUIPMENT LEASE","     ","","","@W02"
2002,116,"1114200149E3291","C00042622","RP","Republican State Cmte of Massachusetts","Nova/Cardlinx Information Systems","01",73,"07/10/2001","Knoxville","TN","37920    ","C00042622","","","MERCHANT CARD FEES","     ","","","@W02"
2002,117,"1114200149E3296","C00042622","RP","Republican State Cmte of Massachusetts","Nova/Cardlinx Information Systems","01",64,"08/09/2001","Knoxville","TN","37920    ","C00042622","","","MERCHANT CARD FEES","     ","","","@W02"
2002,118,"1114200149E3301","C00042622","RP","Republican State Cmte of Massachusetts","Nova/Cardlinx Information Systems","01",15,"09/11/2001","Knoxville","TN","37920    ","C00042622","","","MERCHANT CARD FEES","     ","","","@W02"
2002,119,"1114200149E3304","C00042622","RP","Republican State Cmte of Massachusetts","Nova/Cardlinx Information Systems","01",29,"10/09/2001","Knoxville","TN","37920    ","C00042622","","","MERCHANT CARD FEES","     ","","","@W02"
2002,120,"0717200125E3098","C00042622","RP","Republican State Cmte of Massachusetts","Olsen & Delisi","99",4826,"07/01/2001","Austin","TX","78701    ","C00042622","","","DIRECT MAIL","     ","","IND","@W02"
2002,121,"1114200148E3266","C00042622","RP","Republican State Cmte of Massachusetts","Olsen & Delisi","99",2629,"10/23/2001","Austin","TX","78701    ","C00042622","","","DIRECT MAIL","     ","","IND","@W02"
2002,122,"1114200146E3226","C00042622","RP","Republican State Cmte of Massachusetts","Pitney Bowes Credit Corp.","01",972,"09/17/2001","Louisville","KY","402856460","C00042622","","","EQUIPMENT RENTAL","     ","","","@W02"
2002,123,"EXP:B:2322","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","ROHRABACHER RHONDA J.","01",1142,"09/27/2001","HUNTINGTON BEACH","CA","92648    ","         ","","001","PAYROLL EXPENSE","     ","","IND","@W02"
2002,125,"EXP:B:2149","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","REPUBLICAN PARTY OF ORANGE COUNTY","  ",1000,"06/14/2001","COSTA MESA","CA","92626    ","         ","","","","     ","","PAC",""
2002,126,"EXP:B:2341","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","ROHRABACHER RHONDA J.","01",1142,"11/13/2001","HUNTINGTON BEACH","CA","92648    ","         ","","001","PAYROLL EXPENSE","     ","","IND","@W02"
2002,127,"EXP:B:2399","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","VERIZON CALIFORNIA","01",107,"12/13/2001","INGLEWOOD","CA","90313    ","         ","","001","TELEPHONE","     ","","ORG","@W02"
2002,128,"EXP:B:2281","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","STRAUB DISTRIBUTING CO.","10",1000,"08/03/2001","ORANGE","CA","92665    ","         ","","","CONTRIBUTION REFUND","     ","","ORG","@W02"
2002,129,"EXP:B:2087","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","ROHRABACHER RHONDA J.","01",1132,"01/11/2001","HUNTINGTON BEACH","CA","92648    ","         ","","001","PAYROLL EXPENSE","     ","","IND","@W02"
2002,130,"EXP:B:2088","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","ROHRABACHER RHONDA J.","01",1132,"01/29/2001","HUNTINGTON BEACH","CA","92648    ","         ","","001","PAYROLL EXPENSE","     ","","IND","@W02"
2002,131,"EXP:B:1937","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","ROHRABACHER RHONDA J.","01",1132,"02/13/2001","HUNTINGTON BEACH","CA","92648    ","         ","","001","PAYROLL EXPENSE","     ","","IND","@W02"
2002,132,"EXP:B:1939","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","ROHRABACHER RHONDA J.","01",1132,"02/27/2001","HUNTINGTON BEACH","CA","92648    ","         ","","001","PAYROLL EXPENSE","     ","","IND","@W02"
2002,133,"EXP:B:1942","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","ROHRABACHER RHONDA J.","01",1132,"03/14/2001","HUNTINGTON BEACH","CA","92648    ","         ","","001","PAYROLL EXPENSE","     ","","IND","@W02"
2002,134,"EXP:B:2065","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","ROHRABACHER RHONDA J.","01",1132,"04/13/2001","HUNTINGTON BEACH","CA","92648    ","         ","","001","PAYROLL EXPENSE","     ","","IND","@W02"
2002,136,"","C00343582","DP","Democratic Leader's Victory Fund 2000","Joyce A. Aboussie","01",2623,"01/31/2001","Saint Louis","MO","63129    ","         ","","","Operating Expenditure Payroll","     ","","","@W02"
2002,137,"","C00343582","DP","Democratic Leader's Victory Fund 2000","Bank of America","01",1442,"01/31/2001","Saint Louis","MO","63179    ","         ","","","Operating Expenditure Payroll Tax","     ","","","@W02"
2002,138,"EXP:B:2064","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","BANK OF AMERICA","01",841,"04/13/2001","LOS ANGELES","CA","90071    ","         ","","001","PAYROLL TAX","     ","","ORG","@W02"
2002,139,"EXP:B:2146","N00007151","RW","Cmte to Re-Elect Dana Rohrabacher","BANK OF AMERICA","01",841,"06/07/2001","LOS ANGELES","CA","90071    ","         ","","001","PAYROLL TAX","     ","","ORG","@W02"
2002,140,"072720019E2537","N00000766","RW","Friends of Mike Ferguson","Verizon","01",8,"05/04/2001","Trenton","NJ","086504833","C00366195","","","TELEPHONE","     ","","","@W02"
2002,141,"072720019E2542","N00000766","RW","Friends of Mike Ferguson","New Jersey Right to Life","04",250,"05/08/2001","Cranford","NJ","07016    ","C00366195","","","ADVERTISING","     ","","PAC","@W02"
